PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
19350,20080229,DE,DEERE & CO,85.21,1006944,-0.026839
19350,20080331,DE,DEERE & CO,80.44,1061799,-0.053045
19350,20080430,DE,DEERE & CO,84.07,1113588,0.045127
19350,20080530,DE,DEERE & CO,81.34,1411823,-0.032473
19350,20080630,DE,DEERE & CO,72.13,1164743,-0.109786
19350,20080731,DE,DEERE & CO,70.16,1380522,-0.027312
19350,20080829,DE,DEERE & CO,70.57,1138616,0.005844
19350,20080930,DE,DEERE & CO,49.5,1183583,-0.294601
19350,20081031,DE,DEERE & CO,38.56,2367654,-0.22101
19350,20081128,DE,DEERE & CO,34.81,1201058,-0.097251
19350,20081231,DE,DEERE & CO,38.32,1128669,0.108877
19350,20090130,DE,DEERE & CO,34.74,1205526,-0.093424
19350,20090227,DE,DEERE & CO,27.49,1415529,-0.208693
19350,20090331,DE,DEERE & CO,32.87,1524169,0.205893
19350,20090430,DE,DEERE & CO,41.26,1235691,0.255248
19350,20090529,DE,DEERE & CO,43.47,1205616,0.053563
19350,20090630,DE,DEERE & CO,39.95,1180237,-0.074534
19350,20090731,DE,DEERE & CO,43.74,1013145,0.094869
19350,20090831,DE,DEERE & CO,43.6,1031913,-0.003201
19350,20090930,DE,DEERE & CO,42.92,1174080,-0.009174
19350,20091030,DE,DEERE & CO,45.55,1368141,0.061277
19350,20091130,DE,DEERE & CO,53.51,1203395,0.174753
19350,20091231,DE,DEERE & CO,54.09,921010,0.016072
19350,20100129,DE,DEERE & CO,49.95,940015,-0.076539
19350,20100226,DE,DEERE & CO,57.3,1008118,0.147147
19350,20100331,DE,DEERE & CO,59.46,1026789,0.042583
19350,20100430,DE,DEERE & CO,59.82,726620,0.006055
19350,20100528,DE,DEERE & CO,57.68,1190537,-0.035774
19350,20100630,DE,DEERE & CO,55.68,1123259,-0.029473
19350,20100730,DE,DEERE & CO,66.68,904377,0.197557
19350,20100831,DE,DEERE & CO,63.27,1035320,-0.05114
19350,20100930,DE,DEERE & CO,69.78,882663,0.107634
19350,20101029,DE,DEERE & CO,76.8,911393,0.100602
19350,20101130,DE,DEERE & CO,74.7,800252,-0.027344
19350,20101231,DE,DEERE & CO,83.05,718893,0.116466
19350,20110131,DE,DEERE & CO,90.9,735527,0.094521
19350,20110228,DE,DEERE & CO,90.15,950366,-0.008251
19350,20110331,DE,DEERE & CO,96.89,1045555,0.078647
19350,20110429,DE,DEERE & CO,97.5,722001,0.006296
19350,20110531,DE,DEERE & CO,86.08,1134152,-0.117128
19350,20110630,DE,DEERE & CO,82.45,1145729,-0.037407
19350,20110729,DE,DEERE & CO,78.51,1042293,-0.047786
19350,20110831,DE,DEERE & CO,80.82,1596591,0.029423
19350,20110930,DE,DEERE & CO,64.57,1100344,-0.195991
19350,20111031,DE,DEERE & CO,75.9,1173190,0.175469
19350,20111130,DE,DEERE & CO,79.25,998228,0.044137
19350,20111230,DE,DEERE & CO,77.35,722000,-0.018801
19350,20120131,DE,DEERE & CO,86.15,789248,0.113769
19350,20120229,DE,DEERE & CO,82.93,773733,-0.037377
19350,20120330,DE,DEERE & CO,80.9,861651,-0.018932
19350,20120430,DE,DEERE & CO,82.36,742544,0.018047
19350,20120531,DE,DEERE & CO,73.87,844429,-0.103084
19350,20120629,DE,DEERE & CO,80.87,765064,0.100988
19350,20120731,DE,DEERE & CO,76.82,783734,-0.05008
19350,20120831,DE,DEERE & CO,75.11,1178887,-0.02226
19350,20120928,DE,DEERE & CO,82.47,724961,0.104114
19350,20121031,DE,DEERE & CO,85.44,626710,0.036013
19350,20121130,DE,DEERE & CO,84.05,691656,-0.016269
19350,20121231,DE,DEERE & CO,86.42,488286,0.03367
19350,20130131,DE,DEERE & CO,94.06,556815,0.088405
19350,20130228,DE,DEERE & CO,87.83,629756,-0.066234
19350,20130328,DE,DEERE & CO,85.98,602265,-0.015257
19350,20130430,DE,DEERE & CO,89.3,603005,0.038614
19350,20130531,DE,DEERE & CO,87.11,789674,-0.024524
19350,20130628,DE,DEERE & CO,81.25,648914,-0.061417
19350,20130731,DE,DEERE & CO,83.07,628633,0.0224
19350,20130830,DE,DEERE & CO,83.64,844136,0.006862
19350,20130930,DE,DEERE & CO,81.39,578559,-0.020803
19350,20131031,DE,DEERE & CO,81.84,632097,0.005529
19350,20131129,DE,DEERE & CO,84.24,702210,0.029326
19350,20131231,DE,DEERE & CO,91.33,703150,0.090218
19350,20140131,DE,DEERE & CO,85.96,613895,-0.058798
19350,20140228,DE,DEERE & CO,85.93,603499,-0.000349
19350,20140331,DE,DEERE & CO,90.8,648719,0.062609
19350,20140430,DE,DEERE & CO,93.34,577449,0.027973
